TeamName,AdjTempo,AdjOE,AdjDE,eFGPct,TOPct,ORPct,FTRate,eFGPctD,TOPctD,ORPctD,FTRateD
Louisiana Monroe,64.9257,96.0639,103.741,47.97687861,19.08610239,28.64450128,34.99737257,51.56087409,18.69922194,29.84670875,32.77835588
Louisiana Tech,66.53,108.686,98.2116,47.7320307,20.53614403,25.61797753,32.24005583,48.30287206,16.7972265,30.45310854,34.0078329
Louisville,67.1418,114.45,93.0868,53.2882606,18.45968807,30.18672199,29.25629994,47.17898833,20.70831863,26.75350701,32.55512322
Loyola Chicago,65.2727,103.666,96.8001,52.4622272,17.92289817,31.96564885,32.23279239,45.11851016,17.39855806,24.97824195,29.00677201
Loyola Marymount,62.9919,100.597,104.019,54.86867393,19.41464127,21.3740458,38.88532992,52.19000617,23.55059241,23.60248447,23.50400987
Loyola MD,70.9542,100.386,109.135,52.73733256,19.10713483,25.67049808,42.45777519,50.85287846,17.84831183,29.83870968,32.35607676
LSU,70.0128,118.07,102.447,50.9658725,21.92957808,27.32362822,34.77141017,51.8113679,18.58269487,27.81875659,38.16364772
Maine,65.8917,92.8683,106.774,46.27692308,22.88962767,28.19253438,26.76923077,49.90920097,18.58217038,28.44488189,32.80871671
Manhattan,65.8397,92.8297,101.586,45.72599532,20.87309448,30.13100437,34.13348946,47.46192893,22.32261493,30.11472275,46.00253807
Marist,65.1666,90.2147,103.8,45.93023256,20.93627521,25.91206735,29.74296206,49.25854288,20.53748902,25.20408163,39.13604126
Marquette,70.7049,114.049,96.8613,51.55895692,18.8124903,29.98120301,39.22902494,46.79521999,15.08678929,26.01351351,34.81803368
Marshall,74.8568,101.172,99.0604,50.20397756,19.27216593,27.87021631,28.60785314,46.29341628,19.95587913,32.08895949,37.63608087
Maryland,67.0396,113.542,92.4261,48.64712514,16.69578491,31.5266486,37.7113867,46.12233752,17.26821182,26.59667542,24.24904424
Maryland Eastern Shore,67.5396,81.6619,107.8,40.48146099,21.07525391,26.18473896,25.6779192,51.02564103,20.38198898,30.96351731,36.58119658
Massachusetts,68.6074,102.944,102.509,49.18539326,18.82537957,25.8302583,29.88764045,50.99318956,20.3055077,30.33492823,33.4846765
McNeese St.,68.9523,102.982,112.303,54.89756722,22.68811921,30.11111111,35.65941101,51.55440415,17.56339053,31.58914729,29.59124928
Memphis,72.591,100.588,89.055,49.74475326,22.32509275,30,39.9319342,41.16869381,20.18013286,29.37548188,35.00793231
Mercer,68.0934,100.117,102.725,51.00690449,21.00113358,30.53892216,26.46720368,49.59467284,17.707774,26.8907563,35.32136653
Merrimack,63.181,93.8723,98.766,48.47447073,18.62906546,23.03149606,25.90286426,48.00399202,25.88513792,34.18530351,37.7910845
Miami FL,68.2715,107.65,101.262,48.81401617,17.15075121,26.00178094,28.14016173,50.20565553,17.60932744,31.90184049,22.87917738
Miami OH,67.0904,101.991,106.978,48.39977541,16.37815116,25.0678733,26.89500281,51.86721992,17.88028928,28.13397129,36.92946058
Michigan,68.7394,113.156,93.0352,52.81652361,15.27103792,25,26.7167382,46.90148305,16.05298866,25.45931759,26.37711864
